Participant Number,Age,Gender,Ethnicity (simplified),Country of birth,Country of residence,Nationality,First Language
152,65,Female,White,United Kingdom,United Kingdom,United Kingdom,English
153,69,Female,White,Lithuania,United Kingdom,Lithuania,Lithuanian
154,53,Female,White,United Kingdom,United Kingdom,United Kingdom,English
155,56,Male,White,United Kingdom,United Kingdom,United Kingdom,English
156,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English
157,23,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English
158,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English
159,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English
160,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English
161,68,Male,White,United Kingdom,United Kingdom,United Kingdom,English
162,63,Male,White,United Kingdom,United Kingdom,United Kingdom,English
163,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English
164,57,Female,White,United Kingdom,United Kingdom,United Kingdom,English
165,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English
166,65,Female,White,United Kingdom,United Kingdom,United Kingdom,English
167,76,Female,White,United Kingdom,United Kingdom,United Kingdom,English
168,62,Male,White,United Kingdom,United Kingdom,United Kingdom,English
169,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English
170,36,Female,White,Australia,United Kingdom,Australia,English
171,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English
172,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English
173,69,Female,White,United Kingdom,United Kingdom,United Kingdom,English
174,63,Female,White,United Kingdom,United Kingdom,United Kingdom,English
175,37,Male,Asian,United States,United States,Korea,Korean
176,55,Female,White,United Kingdom,United Kingdom,United Kingdom,English
177,65,Male,White,United Kingdom,United Kingdom,United Kingdom,English
178,67,Male,White,United Kingdom,United Kingdom,United Kingdom,English
179,49,Female,White,Australia,United Kingdom,United Kingdom,English
180,33,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English
181,64,Female,White,United Kingdom,United Kingdom,United Kingdom,English
182,28,Male,Black,United Kingdom,United Kingdom,United Kingdom,English
183,57,Female,White,United Kingdom,United Kingdom,United Kingdom,English
184,64,Male,White,United Kingdom,United Kingdom,United Kingdom,English
185,65,Female,White,United Kingdom,United Kingdom,United Kingdom,English
186,70,Male,White,United Kingdom,United Kingdom,United Kingdom,English
187,65,Female,White,United Kingdom,United Kingdom,United Kingdom,English
188,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English
189,57,Female,White,United Kingdom,United Kingdom,United Kingdom,English
190,53,Female,White,United Kingdom,United Kingdom,United Kingdom,English
191,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English
192,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English
193,32,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English
194,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English
195,24,Female,White,Algeria,United States,Algeria,Arabic
196,65,Male,White,United Kingdom,United Kingdom,United Kingdom,English
197,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English
198,32,Female,White,Netherlands,United Kingdom,Netherlands,English
199,68,Male,White,United Kingdom,United Kingdom,United Kingdom,English
200,57,Female,NaN,NaN,United Kingdom,United Kingdom,English
201,63,Male,White,United Kingdom,United Kingdom,United Kingdom,English
202,45,Male,White,United Kingdom,United Kingdom,United Kingdom,English
203,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English
204,66,Female,White,United Kingdom,United Kingdom,United Kingdom,English
205,27,Male,Black,NaN,United Kingdom,United Kingdom,English
206,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English
207,48,Male,White,United Kingdom,United Kingdom,United Kingdom,English
208,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English
209,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English
210,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English
211,25,Female,Black,Nigeria,United Kingdom,Nigeria,English
212,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English
213,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English
214,53,Female,White,United Kingdom,United Kingdom,United Kingdom,English
215,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English
216,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English
217,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English
218,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English
219,21,Male,White,United Kingdom,United Kingdom,United Kingdom,English
220,20,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English
221,39,Female,White,Lithuania,United Kingdom,United Kingdom,English
222,44,Male,White,United Kingdom,United Kingdom,United Kingdom,English
223,67,Female,White,United Kingdom,United Kingdom,United Kingdom,English
224,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English
225,68,Male,White,United Kingdom,United Kingdom,United Kingdom,English
226,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English
227,57,Male,White,United Kingdom,United Kingdom,United Kingdom,English
228,71,Male,White,United Kingdom,United Kingdom,United Kingdom,English
229,74,Female,White,United Kingdom,United Kingdom,United Kingdom,English
230,26,Female,White,Portugal,United Kingdom,Portugal,Portuguese
231,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English
232,42,Male,White,Croatia,United Kingdom,Croatia,Serbian
233,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English
234,40,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English
235,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English
236,26,Female,Asian,China,United Kingdom,United Kingdom,Chinese
237,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English
238,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English
239,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English
240,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English
241,42,Female,Black,Nigeria,United Kingdom,Nigeria,English
242,42,Male,White,United Kingdom,United Kingdom,United Kingdom,Welsh
243,48,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English
244,27,Female,Asian,Korea,United Kingdom,Korea,Korean
245,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English
246,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English
247,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English
248,66,Female,White,United Kingdom,United Kingdom,United Kingdom,English
249,76,Male,White,United Kingdom,United Kingdom,United Kingdom,English
250,41,Male,Asian,India,United Kingdom,India,Tamil
251,72,Female,White,United Kingdom,United Kingdom,United Kingdom,English
252,45,Male,White,United Kingdom,United Kingdom,United Kingdom,English
253,20,Female,White,United Kingdom,United Kingdom,United Kingdom,English
254,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English
255,43,Male,Asian,Hong Kong,United Kingdom,United Kingdom,English
256,60,Female,White,United Kingdom,United Kingdom,United Kingdom,English
257,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English
258,29,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English
259,53,Female,White,United Kingdom,United Kingdom,United Kingdom,English
260,24,Female,White,Italy,United Kingdom,Italy,Italian
261,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English
262,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English
263,50,Female,White,Ireland,United Kingdom,Ireland,English
264,61,Male,White,United Kingdom,United Kingdom,United Kingdom,English
